goal,target,indicator,series_code,series_description,geo_area_code,geo_area_name,time_period,value,units,age,sex,location,nature,observation_status
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2000,5.07,PERCENT,25+,MALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2000,6.46,PERCENT,15+,MALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2000,6.28,PERCENT,15+,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2000,4.91,PERCENT,25+,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2000,12.1,PERCENT,15-24,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2000,12.89,PERCENT,15-24,MALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2000,6.06,PERCENT,15+,FEMALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2000,4.7,PERCENT,25+,FEMALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2000,11.23,PERCENT,15-24,FEMALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2001,13.48,PERCENT,15-24,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2001,5.15,PERCENT,25+,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2001,6.74,PERCENT,15+,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2001,6.98,PERCENT,15+,MALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2001,5.33,PERCENT,25+,MALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2001,12.29,PERCENT,15-24,FEMALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2001,4.91,PERCENT,25+,FEMALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2001,6.44,PERCENT,15+,FEMALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2001,14.59,PERCENT,15-24,MALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2002,4.87,PERCENT,25+,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2002,12.8,PERCENT,15-24,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2002,13.79,PERCENT,15-24,MALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2002,6.16,PERCENT,15+,FEMALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2002,4.73,PERCENT,25+,FEMALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2002,11.73,PERCENT,15-24,FEMALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2002,4.97,PERCENT,25+,MALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2002,6.53,PERCENT,15+,MALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2002,6.37,PERCENT,15+,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2003,11.97,PERCENT,15-24,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2003,4.52,PERCENT,25+,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2003,5.93,PERCENT,15+,BOTHSEX,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2003,5.89,PERCENT,15+,MALE,,C,A
8,8.5,8.5.2,SL_TLF_UEM,"Unemployment rate, by sex and age - 13th ICLS (%)",36,Australia,2003,4.44,PERCENT,25+,MALE,,C,A
